Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Ablytek 6MN6A270,Ablytek,Mono-c-Si,0,270.643,242.1,1.627,1.64,0.992,60,9.34,38.63,8.81,30.72,0.00486614,-0.121182,47.4,1.58733,9.34243,2.51E-10,0.374013,1440.5,12.6561,-0.4509,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-HC-435W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,435.336,401.8,2.12,,,72,11.26,49.4,10.67,40.8,0.006193,-0.137826,46,1.91652,11.2639,7.16E-11,0.259805,741.164,12.8325,-0.38,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-BHC-440W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,440.34,407.3,2.14,,,72,11.45,49.3,10.74,41,0.007099,-0.154309,45.4,1.96128,11.4606,1.36E-10,0.217054,235.281,5.65737,-0.381,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-HC-440W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,440.34,406.6,2.12,,,72,11.33,49.6,10.74,41,0.0062315,-0.138384,46,1.92479,11.3337,7.25E-11,0.255524,784.312,12.8968,-0.38,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-BHC-445W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,445.372,412.1,2.14,,,72,11.52,49.5,10.81,41.2,0.0071424,-0.154935,45.4,1.96968,11.5302,1.38E-10,0.213054,240.341,5.7078,-0.381,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-HC-445W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,445.372,411.3,2.12,,,72,11.4,49.8,10.81,41.2,0.00627,-0.138942,46,1.93306,11.4034,7.35E-11,0.251299,832.268,12.9606,-0.38,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-BHC-450W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,450.018,416.9,2.14,,,72,11.58,49.6,10.87,41.4,0.0071796,-0.155248,45.4,1.97636,11.5896,1.44E-10,0.199938,241.977,6.00248,-0.381,N,SAM 2021.12.02,11/16/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M144-HC-450W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,450.432,416.1,2.12,,,72,11.47,50,10.88,41.4,0.0063085,-0.1395,46,1.94134,11.4732,7.45E-11,0.247129,885.883,13.024,-0.38,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-175-1AC1-A-A,Andalay Solar,Mono-c-Si,0,174.24,157.5,1.277,1.58,0.808,72,5.2,44.2,4.95,35.2,0.002288,-0.142324,46.4,1.7788,5.25463,8.45E-11,0.765424,1530.63,5.38937,-0.435,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-175-1AC3-B-A,Andalay Solar,Mono-c-Si,0,174.24,157.5,1.277,1.58,0.808,72,5.2,44.2,4.95,35.2,0.002288,-0.142324,46.4,1.7788,5.25463,8.45E-11,0.765424,1530.63,5.38937,-0.435,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-185-1AC1-A-A,Andalay Solar,Mono-c-Si,0,185.276,167.2,1.277,1.58,0.808,72,5.43,45,5.09,36.4,0.0029865,-0.1467,45.8,1.85551,5.43546,1.57E-10,0.61443,611.534,9.02638,-0.436,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-185-1AC1-A-B,Andalay Solar,Mono-c-Si,0,185.276,167.2,1.277,1.58,0.808,72,5.43,45,5.09,36.4,0.0029865,-0.1467,45.8,1.85551,5.43546,1.57E-10,0.61443,611.534,9.02638,-0.436,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-185-1AC3-B-A,Andalay Solar,Mono-c-Si,0,185.276,167.2,1.277,1.58,0.808,72,5.43,45,5.09,36.4,0.0029865,-0.1467,45.8,1.85551,5.43546,1.57E-10,0.61443,611.534,9.02638,-0.436,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-185-1AC3-B-B,Andalay Solar,Mono-c-Si,0,185.276,167.2,1.277,1.58,0.808,72,5.43,45,5.09,36.4,0.0029865,-0.1467,45.8,1.85551,5.43546,1.57E-10,0.61443,611.534,9.02638,-0.436,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-190-1AC1-A-B,Andalay Solar,Mono-c-Si,0,190.32,171.8,1.277,1.58,0.808,72,5.62,45.2,5.2,36.6,0.003091,-0.147352,45.8,1.87896,5.6323,1.95E-10,0.585629,267.63,10.676,-0.436,N,SAM 2021.12.02,11/16/2022
Andalay Solar ST-190-1AC3-B-B,Andalay Solar,Mono-c-Si,0,190.32,171.8,1.277,1.58,0.808,72,5.62,45.2,5.2,36.6,0.003091,-0.147352,45.8,1.87896,5.6323,1.95E-10,0.585629,267.63,10.676,-0.436,N,SAM 2021.12.02,11/16/2022
Anhui Rinengzhongtian Semiconductor Development QJM225-60,Anhui Rinengzhongtian Semiconductor Development,Mono-c-Si,0,224.96,202.2,1.627,1.64,0.992,60,8.13,36.41,7.6,29.6,0.00270461,-0.119075,45.2,1.52658,8.13928,3.51E-10,0.303753,266.124,12.4913,-0.46817,N,SAM 2021.12.02,11/16/2022
Anhui Rinengzhongtian Semiconductor Development QJP270-72,Anhui Rinengzhongtian Semiconductor Development,Multi-c-Si,0,270.045,240.8,1.94,1.956,0.992,72,8.57,42.4,7.65,35.3,0.0062561,-0.153064,46.9,1.92664,8.59235,2.21E-09,0.178344,68.3764,17.439,-0.462,N,SAM 2021.12.02,11/16/2022
Anhui Rinengzhongtian Semiconductor Development QJM275-60,Anhui Rinengzhongtian Semiconductor Development,Mono-c-Si,0,275.044,248.5,1.627,1.64,0.992,60,9.55,37.88,8.93,30.8,0.003177,-0.123883,45.2,1.5881,9.56065,4.11E-10,0.268404,240.642,12.477,-0.46817,N,SAM 2021.12.02,11/16/2022
Anhui Rinengzhongtian Semiconductor Development QJM275-72,Anhui Rinengzhongtian Semiconductor Development,Mono-c-Si,0,275.188,246.6,1.94,1.956,0.992,72,8.27,43.79,7.73,35.6,0.00348547,-0.148391,45.7,1.85308,8.27909,4.45E-10,0.354537,322.419,10.383,-0.46757,N,SAM 2021.12.02,11/16/2022
Anji Dasol Solar Energy Science & Technology DS-A4-230,Anji Dasol Solar Energy Science & Technology,Multi-c-Si,0,230.1,200.7,1.647,1.66,0.992,60,8.3,36.9,7.67,30,0.00721743,-0.142787,48.6,1.7075,8.31246,3.34E-09,0.259983,173.242,13.2712,-0.505325,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-S572-175,Anji Technology,Mono-c-Si,0,175.091,151.2,1.3,1.576,0.825,72,5.17,43.99,4.78,36.63,0.00214555,-0.159068,49.9,1.9817,5.1757,1.15E-09,0.316688,287.102,16.0571,-0.5072,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-S572-180,Anji Technology,Mono-c-Si,0,179.928,155.7,1.3,1.576,0.825,72,5.31,44.06,4.9,36.72,0.00220365,-0.159321,49.9,1.98841,5.31615,1.23E-09,0.299919,259.048,16.419,-0.5072,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-S572-185,Anji Technology,Mono-c-Si,0,184.702,160.2,1.3,1.576,0.825,72,5.43,44.14,5.03,36.72,0.00225345,-0.15961,49.9,1.98482,5.43568,1.16E-09,0.311962,298.423,15.6882,-0.5072,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-220,Anji Technology,Multi-c-Si,0,219.876,189.1,1.624,1.632,0.995,60,7.95,36.06,7.3,30.12,0.0043566,-0.130681,50.2,1.67309,7.95906,3.34E-09,0.140393,123.168,21.8752,-0.5196,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-225,Anji Technology,Multi-c-Si,0,224.986,193.5,1.624,1.632,0.995,60,8.04,36.24,7.44,30.24,0.00440592,-0.131334,50.2,1.67178,8.04721,3.01E-09,0.14737,164.419,20.6984,-0.5196,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-230,Anji Technology,Multi-c-Si,0,230.129,204.1,1.624,1.632,0.995,60,8.1,36.42,7.58,30.36,0.007857,-0.130748,46.4,1.68048,8.10361,3.10E-09,0.152058,340.985,21.5543,-0.493,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-235,Anji Technology,Multi-c-Si,0,235.008,208.7,1.624,1.632,0.995,60,8.23,36.72,7.68,30.6,0.0079831,-0.131825,46.4,1.69698,8.23464,3.24E-09,0.151504,268.7,21.8719,-0.493,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-240,Anji Technology,Multi-c-Si,0,240.538,213.3,1.624,1.632,0.995,60,8.32,36.84,7.83,30.72,0.0080704,-0.132256,46.4,1.69423,8.32177,2.98E-09,0.150077,706.266,20.8811,-0.493,N,SAM 2021.12.02,11/16/2022
